Orthogroup	S_diversifolius	C_amplexicaulis
OG0006211	Sdiv_ptg000012l_1386-R	Caamp.0076s0894
OG0006211	Sdiv_ptg000007l_0866-R	Caamp.0085s0068
OG0006212	Sdiv_ptg000012l_1383-R	Caamp.0076s0896
OG0006213	Sdiv_ptg000012l_1382-R	Caamp.0076s0897
OG0006213	Sdiv_ptg000007l_0869-R	Caamp.0085s0071
OG0006214	Sdiv_ptg000012l_1379-R	Caamp.0076s0900
OG0006214	Sdiv_ptg000007l_0872-R	Caamp.0085s0074
OG0006215	Sdiv_ptg000007l_0887-R	Caamp.0085s0098
OG0006215	Sdiv_ptg000012l_1361-R	Caamp.0076s0919
OG0006216	Sdiv_ptg000012l_1354-R	Caamp.0076s0929
OG0006216	Sdiv_ptg000007l_0894-R	Caamp.0085s0108
OG0006217	Sdiv_ptg000007l_0896-R	Caamp.0085s0111
OG0006218	Sdiv_ptg000012l_1350-R	Caamp.0076s0936
OG0006218	Sdiv_ptg000007l_0897-R	Caamp.0085s0112
OG0006219	Sdiv_ptg000012l_1344-R	Caamp.0076s0940
OG0006219	Sdiv_ptg000007l_0900-R	Caamp.0085s0117
OG0006220	Sdiv_ptg000012l_1341-R	Caamp.0076s0944
OG0006221	Sdiv_ptg000012l_1339-R	Caamp.0076s0946
OG0006222	Sdiv_ptg000007l_0904-R	Caamp.0085s0125
OG0006223	Sdiv_ptg000012l_1336-R	Caamp.0076s0949
OG0006223	Sdiv_ptg000007l_0905-R	Caamp.0085s0126
OG0006224	Sdiv_ptg000012l_1335-R	Caamp.0076s0951
OG0006224	Sdiv_ptg000007l_0907-R	Caamp.0085s0128
OG0006225	Sdiv_ptg000007l_0909-R	Caamp.0085s0132
OG0006225	Sdiv_ptg000012l_1332-R	Caamp.0076s0955
OG0006226	Sdiv_ptg000007l_0910-R	Caamp.0085s0135
OG0006226	Sdiv_ptg000012l_1329-R	Caamp.0076s0958
OG0006227	Sdiv_ptg000012l_1326-R	Caamp.0076s0959
OG0006227	Sdiv_ptg000007l_0913-R	Caamp.0085s0138
OG0006228	Sdiv_ptg000012l_1325-R	Caamp.0076s0960
OG0006228	Sdiv_ptg000007l_0914-R	Caamp.0085s0139
OG0006229	Sdiv_ptg000012l_1318-R	Caamp.0076s0967
OG0006229	Sdiv_ptg000007l_0921-R	Caamp.0077s0008
OG0006230	Sdiv_ptg000012l_1303-R	Caamp.0076s0985
OG0006230	Sdiv_ptg000007l_0938-R	Caamp.0077s0021
OG0006231	Sdiv_ptg000012l_1299-R	Caamp.0076s0992
OG0006231	Sdiv_ptg000007l_0942-R	Caamp.0077s0028
OG0006232	Sdiv_ptg000012l_1297-R	Caamp.0076s0994
OG0006232	Sdiv_ptg000007l_0943-R	Caamp.0077s0029
OG0006233	Sdiv_ptg000012l_1292-R	Caamp.0076s1000
OG0006233	Sdiv_ptg000007l_0947-R	Caamp.0077s0034
OG0006234	Sdiv_ptg000012l_1286-R	Caamp.0076s1006
OG0006234	Sdiv_ptg000007l_0950-R	Caamp.0077s0041
OG0006235	Sdiv_ptg000007l_0951-R	Caamp.0076s1007
OG0006235	Sdiv_ptg000007l_0952-R	Caamp.0077s0042
OG0006236	Sdiv_ptg000012l_1282-R	Caamp.0076s1012
OG0006236	Sdiv_ptg000007l_0956-R	Caamp.0077s0046
OG0006237	Sdiv_ptg000012l_1280-R	Caamp.0076s1013
OG0006237	Sdiv_ptg000007l_0958-R	Caamp.0077s0047
OG0006239	Sdiv_ptg000015l_1555-R, Sdiv_ptg000002l_0571-R	Caamp.0078s0115
OG0006240	Sdiv_ptg000015l_1585-R	Caamp.0095s1114
OG0006240	Sdiv_ptg000002l_0540-R	Caamp.0078s0162
OG0006241	Sdiv_ptg000002l_0533-R	Caamp.0078s0171
OG0006241	Sdiv_ptg000015l_1588-R	Caamp.0095s1106
OG0006242	Sdiv_ptg000002l_0524-R	Caamp.0078s0181
OG0006242	Sdiv_ptg000015l_1594-R	Caamp.0095s1100
OG0006243	Sdiv_ptg000002l_0523-R	Caamp.0078s0182
OG0006243	Sdiv_ptg000015l_1595-R	Caamp.0095s1099
OG0006244	Sdiv_ptg000002l_0520-R	Caamp.0078s0188
OG0006244	Sdiv_ptg000015l_1599-R	Caamp.0095s1095
OG0006245	Sdiv_ptg000015l_1600-R, Sdiv_ptg000002l_0519-R	Caamp.0095s1094, Caamp.0078s0189
OG0006246	Sdiv_ptg000015l_1604-R	Caamp.0095s1090
OG0006246	Sdiv_ptg000002l_0515-R	Caamp.0078s0193
OG0006247	Sdiv_ptg000015l_1607-R	Caamp.0095s1088
OG0006248	Sdiv_ptg000002l_0511-R, Sdiv_ptg000015l_1611-R	Caamp.0095s1082, Caamp.0078s0202
OG0006249	Sdiv_ptg000002l_0507-R	Caamp.0078s0206
OG0006249	Sdiv_ptg000015l_1614-R	Caamp.0095s1078
OG0006250	Sdiv_ptg000015l_1616-R	Caamp.0095s1072
OG0006250	Sdiv_ptg000002l_0504-R	Caamp.0078s0211
OG0006251	Sdiv_ptg000015l_1618-R	Caamp.0095s1070
OG0006251	Sdiv_ptg000002l_0502-R	Caamp.0078s0213
OG0006252	Sdiv_ptg000002l_0500-R	Caamp.0078s0215
OG0006252	Sdiv_ptg000015l_1619-R	Caamp.0095s1068
OG0006253	Sdiv_ptg000002l_0499-R	Caamp.0078s0216
OG0006254	Sdiv_ptg000002l_0498-R	Caamp.0078s0218
OG0006255	Sdiv_ptg000002l_0493-R	Caamp.0078s0222
OG0006255	Sdiv_ptg000015l_1624-R	Caamp.0095s1063
OG0006256	Sdiv_ptg000015l_1626-R	Caamp.0095s1061
OG0006257	Sdiv_ptg000002l_0490-R	Caamp.0078s0226
OG0006257	Sdiv_ptg000015l_1628-R	Caamp.0095s1059
OG0006258	Sdiv_ptg000002l_0485-R	Caamp.0078s0231
OG0006258	Sdiv_ptg000015l_1633-R	Caamp.0095s1054
OG0006259	Sdiv_ptg000002l_0471-R	Caamp.0078s0247
OG0006259	Sdiv_ptg000015l_1644-R	Caamp.0095s1041
OG0006260	Sdiv_ptg000002l_0470-R	Caamp.0078s0248
OG0006260	Sdiv_ptg000015l_1645-R	Caamp.0095s1040
OG0006261	Sdiv_ptg000002l_0466-R	Caamp.0078s0254
OG0006261	Sdiv_ptg000015l_1649-R	Caamp.0095s1035
OG0006262	Sdiv_ptg000002l_0462-R, Sdiv_ptg000015l_1652-R	Caamp.0095s1030, Caamp.0078s0258
OG0006263	Sdiv_ptg000002l_0458-R	Caamp.0078s0264
OG0006263	Sdiv_ptg000015l_1657-R	Caamp.0095s1025
OG0006264	Sdiv_ptg000015l_1658-R	Caamp.0095s1024
OG0006265	Sdiv_ptg000002l_0448-R	Caamp.0078s0277
OG0006265	Sdiv_ptg000015l_1665-R	Caamp.0095s1016
OG0006266	Sdiv_ptg000015l_1666-R	Caamp.0095s1017
OG0006266	Sdiv_ptg000002l_0447-R	Caamp.0078s0278
OG0006267	Sdiv_ptg000015l_1667-R	Caamp.0095s1018
OG0006267	Sdiv_ptg000002l_0446-R	Caamp.0078s0279
OG0006268	Sdiv_ptg000015l_1672-R	Caamp.0095s1005, Caamp.0078s0288
OG0006269	Sdiv_ptg000015l_1673-R	Caamp.0095s1002
OG0006270	Sdiv_ptg000002l_0429-R	Caamp.0078s0296
OG0006270	Sdiv_ptg000015l_1677-R	Caamp.0095s0997
OG0006271	Sdiv_ptg000015l_1678-R	Caamp.0095s0996
OG0006271	Sdiv_ptg000002l_0428-R	Caamp.0078s0297
OG0006272	Sdiv_ptg000015l_1691-R	Caamp.0095s0978
OG0006273	Sdiv_ptg000015l_1692-R	Caamp.0095s0976
OG0006273	Sdiv_ptg000002l_0413-R	Caamp.0078s0318
OG0006274	Sdiv_ptg000015l_1696-R, Sdiv_ptg000002l_0411-R	Caamp.0095s0968, Caamp.0078s0325
OG0006275	Sdiv_ptg000002l_0403-R	Caamp.0078s0336
OG0006275	Sdiv_ptg000015l_1702-R	Caamp.0095s0960
OG0006276	Sdiv_ptg000015l_1709-R	Caamp.0095s0947
OG0006276	Sdiv_ptg000002l_0396-R	Caamp.0078s0346
OG0006277	Sdiv_ptg000002l_0394-R	Caamp.0095s0944, Caamp.0078s0348
OG0006278	Sdiv_ptg000015l_1713-R	Caamp.0078s0350, Caamp.0095s0942
OG0006279	Sdiv_ptg000015l_1716-R	Caamp.0095s0939
OG0006279	Sdiv_ptg000002l_0390-R	Caamp.0078s0353
OG0006280	Sdiv_ptg000015l_1733-R	Caamp.0095s0922
OG0006280	Sdiv_ptg000002l_0375-R	Caamp.0078s0370
OG0006281	Sdiv_ptg000002l_0253-R	Caamp.0078s0373
OG0006281	Sdiv_ptg000015l_1850-R	Caamp.0095s0771
OG0006282	Sdiv_ptg000015l_1849-R	Caamp.0095s0772
OG0006282	Sdiv_ptg000002l_0254-R	Caamp.0078s0374
OG0006283	Sdiv_ptg000002l_0257-R	Caamp.0078s0378
OG0006284	Sdiv_ptg000015l_1843-R	Caamp.0095s0781
OG0006284	Sdiv_ptg000002l_0261-R	Caamp.0078s0383
OG0006285	Sdiv_ptg000002l_0263-R	Caamp.0078s0385
OG0006285	Sdiv_ptg000015l_1842-R	Caamp.0095s0783
OG0006286	Sdiv_ptg000002l_0267-R	Caamp.0078s0391
OG0006286	Sdiv_ptg000015l_1837-R	Caamp.0095s0788
OG0006287	Sdiv_ptg000002l_0281-R	Caamp.0095s0801, Caamp.0078s0407
OG0006288	Sdiv_ptg000002l_0293-R	Caamp.0078s0421
OG0006288	Sdiv_ptg000015l_1813-R	Caamp.0095s0812
OG0006289	Sdiv_ptg000002l_0297-R	Caamp.0078s0427
OG0006290	Sdiv_ptg000015l_1809-R	Caamp.0095s0818
OG0006290	Sdiv_ptg000002l_0299-R	Caamp.0078s0428
OG0006291	Sdiv_ptg000002l_0308-R	Caamp.0078s0439
OG0006291	Sdiv_ptg000015l_1801-R	Caamp.0095s0829
OG0006292	Sdiv_ptg000002l_0314-R	Caamp.0078s0445
OG0006292	Sdiv_ptg000015l_1795-R	Caamp.0095s0837
OG0006293	Sdiv_ptg000015l_1794-R, Sdiv_ptg000002l_0315-R	Caamp.0078s0447
OG0006294	Sdiv_ptg000015l_1788-R	Caamp.0095s0845
OG0006295	Sdiv_ptg000002l_0321-R	Caamp.0078s0452
OG0006295	Sdiv_ptg000015l_1787-R	Caamp.0095s0846
OG0006296	Sdiv_ptg000002l_0342-R	Caamp.0078s0474
OG0006296	Sdiv_ptg000015l_1772-R	Caamp.0095s0868
OG0006297	Sdiv_ptg000002l_0347-R	Caamp.0078s0483
OG0006297	Sdiv_ptg000015l_1764-R	Caamp.0095s0880
OG0006298	Sdiv_ptg000002l_0349-R	Caamp.0078s0486
OG0006298	Sdiv_ptg000015l_1762-R	Caamp.0095s0882
OG0006299	Sdiv_ptg000015l_1761-R	Caamp.0095s0884
OG0006299	Sdiv_ptg000002l_0351-R	Caamp.0078s0487
OG0006300	Sdiv_ptg000002l_0362-R	Caamp.0078s0501
OG0006300	Sdiv_ptg000015l_1750-R	Caamp.0095s0899
OG0006302	Sdiv_ptg000002l_0373-R	Caamp.0078s0524
OG0006302	Sdiv_ptg000015l_1736-R	Caamp.0095s0921
OG0006303	Sdiv_ptg000015l_1857-R	Caamp.0095s0763
OG0006304	Sdiv_ptg000002l_0235-R	Caamp.0078s0538
OG0006304	Sdiv_ptg000015l_1862-R	Caamp.0095s0757
OG0006305	Sdiv_ptg000015l_1864-R	Caamp.0095s0756
OG0006305	Sdiv_ptg000002l_0234-R	Caamp.0078s0539
OG0006306	Sdiv_ptg000015l_1871-R	Caamp.0095s0748
OG0006306	Sdiv_ptg000002l_0225-R	Caamp.0078s0547
OG0006308	Sdiv_ptg000001l_0081-R	Caamp.0079s0016
OG0006308	Sdiv_ptg000013l_0065-R, Sdiv_ptg000011l_0065-R	Caamp.0095s1287
OG0006309	Sdiv_ptg000001l_0070-R	Caamp.0079s0032
OG0006309	Sdiv_ptg000013l_0054-R, Sdiv_ptg000011l_0054-R	Caamp.0095s1318
OG0006310	Sdiv_ptg000001l_0068-R	Caamp.0079s0034
OG0006310	Sdiv_ptg000011l_0052-R, Sdiv_ptg000013l_0052-R	Caamp.0095s1320
OG0006311	Sdiv_ptg000001l_0065-R	Caamp.0079s0038
OG0006311	Sdiv_ptg000013l_0050-R, Sdiv_ptg000011l_0049-R	Caamp.0095s1324
OG0006312	Sdiv_ptg000011l_0041-R, Sdiv_ptg000001l_0059-R	Caamp.0079s0044
OG0006312	Sdiv_ptg000013l_0043-R	Caamp.0095s1332
OG0006313	Sdiv_ptg000013l_0042-R, Sdiv_ptg000011l_0040-R	Caamp.0095s1333
OG0006313	Sdiv_ptg000001l_0058-R	Caamp.0079s0045
OG0006314	Sdiv_ptg000001l_0057-R	Caamp.0079s0046
OG0006314	Sdiv_ptg000011l_0039-R, Sdiv_ptg000013l_0041-R	Caamp.0095s1334
OG0006315	Sdiv_ptg000001l_0056-R	Caamp.0079s0047
OG0006315	Sdiv_ptg000013l_0040-R, Sdiv_ptg000011l_0037-R	Caamp.0095s1335
OG0006316	Sdiv_ptg000001l_0054-R	Caamp.0079s0050
OG0006316	Sdiv_ptg000011l_0035-R, Sdiv_ptg000013l_0038-R	Caamp.0095s1337
OG0006317	Sdiv_ptg000001l_0040-R	Caamp.0079s0066
OG0006317	Sdiv_ptg000013l_0029-R, Sdiv_ptg000011l_0026-R	Caamp.0095s1348
OG0006318	Sdiv_ptg000013l_0018-R, Sdiv_ptg000011l_0014-R	Caamp.0095s1366
OG0006320	Sdiv_ptg000015l_2005-R	Caamp.0095s0573
OG0006320	Sdiv_ptg000022l_0373-R	Caamp.0008s0234
OG0006321	Sdiv_ptg000015l_2007-R	Caamp.0095s0571
OG0006321	Sdiv_ptg000022l_0375-R	Caamp.0008s0237
OG0006324	Sdiv_ptg000004l_0357-R	Caamp.0097s1004
OG0006324	Sdiv_ptg000005l_0084-R	Caamp.0089s0015
OG0006326	Sdiv_ptg000004l_0684-R	Caamp.0095s0062
OG0006326	Sdiv_ptg000005l_0385-R	Caamp.0090s0005
OG0006327	Sdiv_ptg000004l_0672-R	Caamp.0095s0039
OG0006327	Sdiv_ptg000005l_0367-R	Caamp.0090s0024
OG0006328	Sdiv_ptg000004l_0671-R	Caamp.0095s0038
OG0006328	Sdiv_ptg000005l_0366-R	Caamp.0090s0025
OG0006329	Sdiv_ptg000005l_0357-R, Sdiv_ptg000004l_0668-R	Caamp.0095s0030, Caamp.0090s0034
OG0006330	Sdiv_ptg000004l_0667-R, Sdiv_ptg000005l_0355-R	Caamp.0090s0037
OG0006331	Sdiv_ptg000004l_0666-R	Caamp.0095s0026
OG0006331	Sdiv_ptg000005l_0354-R	Caamp.0090s0038
OG0006333	Sdiv_ptg000011l_0081-R	Caamp.0095s1303
OG0006333	Sdiv_ptg000001l_0093-R	Caamp.0093s0003
OG0006334	Sdiv_ptg000001l_0098-R	Caamp.0093s0012
OG0006335	Sdiv_ptg000013l_0102-R, Sdiv_ptg000011l_0104-R	Caamp.0095s1260
OG0006335	Sdiv_ptg000001l_0113-R	Caamp.0093s0032
OG0006336	Sdiv_ptg000013l_0104-R, Sdiv_ptg000011l_0106-R	Caamp.0095s1254
OG0006336	Sdiv_ptg000001l_0119-R	Caamp.0093s0039
OG0006337	Sdiv_ptg000001l_0121-R	Caamp.0093s0040
OG0006337	Sdiv_ptg000013l_0105-R, Sdiv_ptg000011l_0107-R	Caamp.0095s1253
OG0006338	Sdiv_ptg000001l_0126-R	Caamp.0093s0044
OG0006338	Sdiv_ptg000011l_0111-R, Sdiv_ptg000013l_0108-R	Caamp.0095s1249
OG0006339	Sdiv_ptg000001l_0154-R	Caamp.0093s0080
OG0006340	Sdiv_ptg000001l_0167-R	Caamp.0093s0103
OG0006340	Sdiv_ptg000011l_0165-R, Sdiv_ptg000013l_0154-R	Caamp.0095s1195
OG0006341	Sdiv_ptg000001l_0160-R	Caamp.0093s0113
OG0006341	Sdiv_ptg000011l_0173-R, Sdiv_ptg000013l_0164-R	Caamp.0095s1185
OG0006342	Sdiv_ptg000011l_0186-R, Sdiv_ptg000013l_0177-R	Caamp.0095s1164
OG0006342	Sdiv_ptg000001l_0189-R	Caamp.0093s0131, Caamp.0093s0132
OG0006343	Sdiv_ptg000013l_0189-R, Sdiv_ptg000011l_0198-R	Caamp.0093s0157, Caamp.0095s1143
OG0006344	Sdiv_ptg000013l_0199-R, Sdiv_ptg000011l_0210-R	Caamp.0095s1130, Caamp.0093s0173
OG0006345	Sdiv_ptg000001l_0214-R	Caamp.0093s0174
OG0006345	Sdiv_ptg000013l_0200-R, Sdiv_ptg000011l_0211-R	Caamp.0095s1129
OG0006346	Sdiv_ptg000005l_1411-R	Caamp.0094s0814
OG0006347	Sdiv_ptg000005l_1328-R	Caamp.0094s0934
OG0006348	Sdiv_ptg000004l_0722-R	Caamp.0095s0105
OG0006348	Sdiv_ptg000005l_0420-R	Caamp.0097s0379
OG0006349	Sdiv_ptg000005l_0421-R	Caamp.0097s0380
OG0006350	Sdiv_ptg000005l_0432-R	Caamp.0097s0396
OG0006350	Sdiv_ptg000004l_0737-R	Caamp.0095s0124
OG0006351	Sdiv_ptg000004l_0752-R	Caamp.0097s0418, Caamp.0095s0145
OG0006352	Sdiv_ptg000015l_2134-R	Caamp.0095s0400
OG0006353	Sdiv_ptg000002l_0059-R, Sdiv_ptg000015l_2038-R	Caamp.0095s0524
OG0006354	Sdiv_ptg000002l_0149-R	Caamp.0099s0095
OG0006354	Sdiv_ptg000015l_1949-R	Caamp.0095s0646
OG0006355	Sdiv_ptg000002l_0162-R	Caamp.0099s0077
OG0006355	Sdiv_ptg000015l_1937-R	Caamp.0095s0661
OG0006356	Sdiv_ptg000015l_1918-R	Caamp.0095s0689
OG0006356	Sdiv_ptg000002l_0179-R	Caamp.0099s0050
OG0006357	Sdiv_ptg000002l_0182-R	Caamp.0099s0044, Caamp.0095s0693
OG0006358	Sdiv_ptg000002l_0191-R	Caamp.0095s0707, Caamp.0099s0026
OG0006359	Sdiv_ptg000002l_0195-R	Caamp.0099s0021
OG0006359	Sdiv_ptg000015l_1900-R	Caamp.0095s0712
OG0006360	Sdiv_ptg000015l_1896-R	Caamp.0095s0715
OG0006360	Sdiv_ptg000002l_0198-R	Caamp.0099s0018
OG0006361	Sdiv_ptg000002l_0202-R	Caamp.0099s0015
OG0006362	Sdiv_ptg000002l_0205-R	Caamp.0099s0012
OG0006362	Sdiv_ptg000015l_1887-R	Caamp.0095s0720
OG0006363	Sdiv_ptg000002l_0412-R, Sdiv_ptg000015l_1694-R	Caamp.0095s0971, Caamp.0095s0970
OG0006364	Sdiv_ptg000011l_0003-R, Sdiv_ptg000013l_0009-R	Caamp.0095s1380
OG0006365	Sdiv_ptg000015l_1269-R, Sdiv_ptg000015l_1270-R	Caamp.0097s0144, Caamp.0097s0141, Caamp.0097s0143
OG0006367	Sdiv_ptg000002l_0815-R	Caamp.0097s0249
OG0006368	Sdiv_ptg000005l_0267-R	Caamp.0097s0588
OG0006369	Sdiv_ptg000004l_0232-R	Caamp.0097s0777
OG0006370	Sdiv_ptg000005l_0027-R, Sdiv_ptg000004l_0281-R	Caamp.0097s0876
OG0006400	Sdiv_ptg000007l_0819-R	Caamp.0001s0003
OG0006400	Sdiv_ptg000012l_1441-R	Caamp.0076s0832
OG0006401	Sdiv_ptg000007l_0811-R	Caamp.0001s0013
OG0006402	Sdiv_ptg000007l_0799-R	Caamp.0001s0030
OG0006402	Sdiv_ptg000007l_0841-R	Caamp.0085s0031
OG0006403	Sdiv_ptg000007l_0797-R	Caamp.0001s0039
OG0006404	Sdiv_ptg000012l_1469-R	Caamp.0001s0048, Caamp.0076s0793
OG0006405	Sdiv_ptg000012l_1475-R	Caamp.0076s0786
OG0006405	Sdiv_ptg000007l_0789-R	Caamp.0001s0055
OG0006406	Sdiv_ptg000012l_1476-R	Caamp.0076s0785
OG0006406	Sdiv_ptg000007l_0788-R	Caamp.0001s0056
OG0006407	Sdiv_ptg000005l_0529-R	Caamp.0001s0057
OG0006408	Sdiv_ptg000012l_1482-R	Caamp.0001s0063
OG0006408	Sdiv_ptg000007l_0783-R	Caamp.0076s0778
OG0006409	Sdiv_ptg000007l_0782-R	Caamp.0001s0064
OG0006410	Sdiv_ptg000012l_1485-R	Caamp.0076s0774
OG0006411	Sdiv_ptg000007l_0773-R	Caamp.0001s0076
OG0006411	Sdiv_ptg000012l_1493-R	Caamp.0076s0762
OG0006412	Sdiv_ptg000007l_0772-R	Caamp.0076s0761, Caamp.0001s0077
OG0006413	Sdiv_ptg000007l_0768-R	Caamp.0001s0081
OG0006413	Sdiv_ptg000012l_1495-R	Caamp.0076s0757
OG0006414	Sdiv_ptg000007l_0767-R	Caamp.0001s0082
OG0006416	Sdiv_ptg000007l_0757-R	Caamp.0076s0738, Caamp.0001s0102
OG0006417	Sdiv_ptg000012l_1510-R	Caamp.0076s0737
OG0006417	Sdiv_ptg000007l_0756-R	Caamp.0001s0103
OG0006418	Sdiv_ptg000012l_1511-R	Caamp.0076s0736
OG0006418	Sdiv_ptg000007l_0755-R	Caamp.0001s0104
OG0006419	Sdiv_ptg000007l_0751-R	Caamp.0001s0109
OG0006419	Sdiv_ptg000012l_1515-R	Caamp.0076s0732
OG0006421	Sdiv_ptg000012l_1517-R	Caamp.0076s0728
OG0006421	Sdiv_ptg000007l_0750-R	Caamp.0001s0113
OG0006422	Sdiv_ptg000012l_1519-R	Caamp.0001s0116, Caamp.0076s0726
OG0006423	Sdiv_ptg000007l_0745-R	Caamp.0001s0120
OG0006424	Sdiv_ptg000012l_1524-R	Caamp.0076s0722, Caamp.0001s0122
OG0006425	Sdiv_ptg000007l_0740-R	Caamp.0001s0128
OG0006425	Sdiv_ptg000012l_1530-R	Caamp.0076s0716
OG0006426	Sdiv_ptg000005l_0582-R	Caamp.0003s0665
OG0006427	Sdiv_ptg000007l_0737-R	Caamp.0001s0132
OG0006427	Sdiv_ptg000012l_1532-R	Caamp.0076s0713
OG0006428	Sdiv_ptg000007l_0735-R	Caamp.0001s0134
OG0006428	Sdiv_ptg000012l_1534-R	Caamp.0076s0711
OG0006429	Sdiv_ptg000007l_0734-R	Caamp.0076s0708, Caamp.0001s0137
OG0006430	Sdiv_ptg000007l_0729-R	Caamp.0001s0141
OG0006430	Sdiv_ptg000012l_1541-R	Caamp.0076s0701
OG0006431	Sdiv_ptg000007l_0722-R	Caamp.0001s0149
OG0006432	Sdiv_ptg000007l_0719-R	Caamp.0001s0152
OG0006432	Sdiv_ptg000012l_1550-R	Caamp.0076s0693
OG0006433	Sdiv_ptg000012l_1552-R	Caamp.0001s0154, Caamp.0076s0690
OG0006434	Sdiv_ptg000012l_1557-R	Caamp.0076s0684
OG0006434	Sdiv_ptg000007l_0713-R	Caamp.0001s0160
OG0006436	Sdiv_ptg000007l_0707-R	Caamp.0001s0169
OG0006436	Sdiv_ptg000012l_1570-R	Caamp.0076s0666
OG0006437	Sdiv_ptg000007l_0704-R	Caamp.0076s0663, Caamp.0001s0172
OG0006438	Sdiv_ptg000007l_0695-R	Caamp.0001s0186
OG0006438	Sdiv_ptg000012l_1581-R	Caamp.0076s0653
OG0006439	Sdiv_ptg000012l_1593-R	Caamp.0001s0198, Caamp.0076s0642
OG0006440	Sdiv_ptg000012l_1592-R	Caamp.0076s0641
OG0006440	Sdiv_ptg000007l_0685-R	Caamp.0001s0199
OG0006441	Sdiv_ptg000012l_1618-R	Caamp.0076s0592
OG0006441	Sdiv_ptg000007l_0667-R	Caamp.0001s0231
OG0006442	Sdiv_ptg000012l_1627-R	Caamp.0076s0583
OG0006442	Sdiv_ptg000007l_0660-R	Caamp.0001s0241
OG0006443	Sdiv_ptg000012l_1631-R	Caamp.0076s0577
OG0006443	Sdiv_ptg000007l_0652-R	Caamp.0001s0250
OG0006444	Sdiv_ptg000012l_1636-R	Caamp.0076s0571
OG0006444	Sdiv_ptg000007l_0648-R	Caamp.0001s0256
OG0006446	Sdiv_ptg000004l_0467-R	Caamp.0001s0269, Caamp.0061s0035
OG0006447	Sdiv_ptg000004l_0466-R	Caamp.0061s0037
OG0006448	Sdiv_ptg000004l_0416-R	Caamp.0010s0316
OG0006449	Sdiv_ptg000004l_0465-R	Caamp.0061s0040
OG0006449	Sdiv_ptg000005l_0200-R	Caamp.0001s0275
OG0006450	Sdiv_ptg000004l_0464-R	Caamp.0061s0043
OG0006450	Sdiv_ptg000005l_0198-R	Caamp.0001s0277
OG0006452	Sdiv_ptg000005l_0193-R	Caamp.0001s0285
OG0006453	Sdiv_ptg000004l_0459-R	Caamp.0061s0051
OG0006454	Sdiv_ptg000004l_0453-R	Caamp.0061s0061
OG0006455	Sdiv_ptg000004l_0445-R	Caamp.0061s0070
OG0006455	Sdiv_ptg000005l_0176-R	Caamp.0001s0310
OG0006456	Sdiv_ptg000005l_0173-R	Caamp.0001s0314, Caamp.0107s0007
OG0006457	Sdiv_ptg000004l_0432-R	Caamp.0107s0024
OG0006458	Sdiv_ptg000005l_0162-R	Caamp.0001s0331, Caamp.0001s0332
OG0006458	Sdiv_ptg000004l_0428-R	Caamp.0010s0357
OG0006459	Sdiv_ptg000004l_0423-R	Caamp.0010s0339
OG0006459	Sdiv_ptg000005l_0160-R	Caamp.0001s0335
OG0006461	Sdiv_ptg000089l_0042-R, Sdiv_ptg000089l_0050-R, Sdiv_ptg000113l_0010-R, Sdiv_ptg000089l_0030-R	Caamp.0010s0007
OG0006462	Sdiv_ptg000022l_0301-R	Caamp.1039s0422, Caamp.0010s0041, Caamp.0010s0098
OG0006463	Sdiv_ptg000022l_0331-R	Caamp.0008s0118
OG0006464	Sdiv_ptg000008l_0331-R	Caamp.0010s0057
OG0006465	Sdiv_ptg000022l_0325-R	Caamp.0008s0106
OG0006465	Sdiv_ptg000008l_0327-R	Caamp.0010s0064
OG0006466	Sdiv_ptg000008l_0325-R, Sdiv_ptg000022l_0323-R	Caamp.0010s0066
OG0006467	Sdiv_ptg000008l_0322-R	Caamp.0010s0069, Caamp.0099s0139
OG0006468	Sdiv_ptg000022l_0322-R	Caamp.0099s0137
OG0006468	Sdiv_ptg000008l_0320-R	Caamp.0010s0071
OG0006469	Sdiv_ptg000022l_0313-R	Caamp.1039s0439
OG0006469	Sdiv_ptg000008l_0315-R	Caamp.0010s0077
OG0006470	Sdiv_ptg000008l_0311-R	Caamp.0010s0081
OG0006471	Sdiv_ptg000022l_0302-R	Caamp.1039s0427
OG0006471	Sdiv_ptg000008l_0301-R	Caamp.0010s0096
OG0006472	Sdiv_ptg000022l_0300-R	Caamp.1039s0417
OG0006472	Sdiv_ptg000008l_0300-R	Caamp.0010s0100
OG0006473	Sdiv_ptg000022l_0299-R	Caamp.0010s0102, Caamp.1039s0414
OG0006474	Sdiv_ptg000022l_0292-R	Caamp.1039s0401
OG0006474	Sdiv_ptg000008l_0290-R	Caamp.0010s0113
OG0006475	Sdiv_ptg000008l_0288-R	Caamp.0010s0115
OG0006475	Sdiv_ptg000022l_0289-R	Caamp.1039s0399
OG0006476	Sdiv_ptg000008l_0287-R	Caamp.0010s0118
OG0006476	Sdiv_ptg000022l_0288-R	Caamp.1039s0398
OG0006477	Sdiv_ptg000022l_0252-R	Caamp.1039s0346
OG0006477	Sdiv_ptg000008l_0283-R	Caamp.0010s0122
OG0006478	Sdiv_ptg000008l_0279-R	Caamp.0010s0128, Caamp.1039s0357
OG0006479	Sdiv_ptg000008l_0278-R	Caamp.0010s0129
OG0006480	Sdiv_ptg000008l_0274-R	Caamp.0010s0133
OG0006482	Sdiv_ptg000008l_0268-R	Caamp.0010s0137
OG0006482	Sdiv_ptg000022l_0272-R	Caamp.1039s0375
